SR.NO,Age,Gender,Branch,Screen Time Before Sleep(hours),Screen duration(hrs),"Morning Alertness(1=Tired, 10=Very Fresh)"
1,19,Male,IT,1.0,3.5,1
2,19,Male,IT,0.5,3.5,2
3,19,Male,IT,2.0,3.0,2
4,19,Female,IT,1.0,1.0,10
5,18,Male,IT,0.0,2.0,6
6,19,Male,IT,1.0,2.0,6
7,19,Female,IT,1.5,2.0,5
8,19,Male,IT,0.5,3.5,3
9,19,Female,IT,2.0,3.5,1
10,20,Male,IT,2.5,4.0,1
11,19,Female,IT,1.0,3.0,5
12,19,Female,IT,0.5,0.0,10
13,19,Male,IT,1.0,3.0,4
14,18,Male,IT,1.0,3.0,4
15,19,Male,IT,0.5,3.0,4
16,19,Male,IT,2.0,2.0,2
17,19,Male,IT,2.0,3.5,3
18,19,Female,IT,1.5,1.0,7
19,19,Female,IT,0.5,4.0,2
20,19,Male,IT,0.0,2.5,8
21,19,Male,IT,0.0,0.0,10
22,19,Male,IT,1.0,2.5,6
23,19,Male,IT,1.5,0.0,10
24,19,Female,IT,1.0,2.0,7
25,19,Female,IT,0.5,1.0,7
26,20,Male,IT,3.0,0.0,4
27,19,Female,IT,1.0,1.0,10
28,19,Male,IT,1.0,2.0,10
29,18,Male,IT,1.5,0.5,8
30,19,Male,IT,2.0,3.0,5
31,19,Female,IT,0.5,3.5,3
32,19,Male,IT,1.0,2.5,3
33,19,Female,IT,1.2,1.0,7
34,19,Male,IT,3.0,2.0,6
35,19,Male,IT,0.0,4.0,4
36,19,Male,IT,0.0,3.0,5
37,19,Female,IT,1.5,2.0,5
